Customer,Year,Date,QC_Number,Customer Complaint,DTC,Failure Analysis,Warranty Decision,Supplier
Kia,2022,2022-02-25,QC-2022-1282,Engine jerking during acceleration,,controller failure due to supplier production failure,According to Specification,STM
TATA,2022,2022-01-24,QC-2022-1413,Vehicle not starting,NA,Connector damage,Customer Failure,STM
TATA,2024,2024-01-30,QC-2024-6475,Starting Problem,P1245,controller failure due to supplier production failure,Production Failure,Hanon
Honda,2021,2021-04-01,QC-2021-8422,Low pickup,"P1245, B1234, P5657",ASIC CJ327 failure due to EOS,According to Specification,Delphi
Ashok Leyland,2022,2022-03-21,QC-2022-4034,Low pickup,"P0455, P1245, P6344",NTF,According to Specification,Bosch
Toyota,2022,2022-09-26,QC-2022-9534,Starting Problem,,Sensor short due to moisture,Production Failure,Bosch
Kia,2024,2024-01-25,QC-2024-1346,High fuel consumption,"P1245, P0301, P0987",Track burnt due to EOS,Production Failure,STM
Honda,2024,2024-03-26,QC-2024-9990,Low pickup,NA,Sensor short due to moisture,Customer Failure,Bosch
Honda,2022,2022-01-04,QC-2022-9985,Low pickup,NA,ASIC CJ327 failure due to EOS,According to Specification,Valeo
TATA,2019,2019-10-01,QC-2019-8732,Vehicle not starting,"P6768, P0455",controller failure due to supplier production failure,According to Specification,STM
Hyundai,2023,2023-03-17,QC-2023-4339,OBD Light ON,P0301,Track burnt due to EOS,According to Specification,NA
Ashok Leyland,2021,2021-07-03,QC-2021-6637,OBD Light ON,NA,Connector damage,Production Failure,NA
M&M,2024,2024-08-17,QC-2024-2076,Low pickup,NA,ASIC CJ327 failure due to EOS,According to Specification,Hanon
TATA,2023,2023-09-24,QC-2023-6474,Engine overheating,"P1245, U0100",ASIC CJ327 failure due to EOS,Customer Failure,Hanon
Honda,2021,2021-09-05,QC-2021-8529,OBD Light ON,,NTF,Customer Failure,STM
Toyota,2022,2022-03-14,QC-2022-6630,Brake warning light ON,"P0455, P6768, P1245",NTF,Production Failure,Delphi
Honda,2023,2023-08-15,QC-2023-5128,Low pickup,"P6344, P5657, B1234",NTF,According to Specification,Valeo
Toyota,2022,2022-03-21,QC-2022-9833,Vehicle not starting,"C0045, P6344, P0301",ASIC CJ327 failure due to EOS,Customer Failure,Hanon
Honda,2020,2020-03-12,QC-2020-1750,Brake warning light ON,NA,Track burnt due to EOS,According to Specification,STM
M&M,2022,2022-03-29,QC-2022-3714,OBD Light ON,NA,Track burnt due to EOS,According to Specification,Bosch
TATA,2023,2023-09-11,QC-2023-2955,Engine jerking during acceleration,"U0100, P0301",Sensor short due to moisture,Production Failure,Bosch
Kia,2021,2021-09-13,QC-2021-3863,Rough idling,"P1245, P0455, P6344",Track burnt due to EOS,Customer Failure,Hanon
Honda,2024,2024-07-06,QC-2024-6616,Low pickup,,NTF,Customer Failure,Hanon
Ashok Leyland,2019,2019-03-26,QC-2019-4229,OBD Light ON,NA,controller failure due to supplier production failure,According to Specification,Valeo
M&M,2024,2024-10-15,QC-2024-4739,Vehicle not starting,NA,NTF,According to Specification,Bosch
Kia,2020,2020-07-02,QC-2020-1320,Engine jerking during acceleration,NA,Sensor short due to moisture,Customer Failure,Valeo
Kia,2019,2019-04-26,QC-2019-6452,Vehicle not starting,"P0987, U0100",Connector damage,Customer Failure,Delphi
Hyundai,2024,2024-02-13,QC-2024-9340,Engine overheating,,Connector damage,According to Specification,NA
M&M,2021,2021-08-03,QC-2021-9315,OBD Light ON,P5657,ASIC CJ327 failure due to EOS,Production Failure,Hanon
Ashok Leyland,2022,2022-08-25,QC-2022-2174,Low pickup,P0987,Sensor short due to moisture,Production Failure,Delphi
TATA,2023,2023-05-01,QC-2023-2793,Starting Problem,P0301,controller failure due to supplier production failure,Customer Failure,Delphi
Ashok Leyland,2021,2021-10-02,QC-2021-7597,Rough idling,P0455,controller failure due to supplier production failure,According to Specification,Hanon
M&M,2021,2021-11-10,QC-2021-9112,High fuel consumption,"U0100, P5657, P0987",NTF,Customer Failure,Delphi
Kia,2022,2022-05-08,QC-2022-4338,Vehicle not starting,,NTF,Customer Failure,NA
Kia,2019,2019-12-02,QC-2019-6126,Engine overheating,C0045,controller failure due to supplier production failure,According to Specification,Hanon
Ashok Leyland,2020,2020-02-12,QC-2020-3882,Rough idling,NA,Connector damage,According to Specification,Valeo
Honda,2023,2023-03-12,QC-2023-4892,Low pickup,C0045,Track burnt due to EOS,According to Specification,Valeo
Hyundai,2023,2023-06-07,QC-2023-2034,High fuel consumption,"P6344, P0987",ASIC CJ327 failure due to EOS,Customer Failure,Delphi
Hyundai,2024,2024-03-05,QC-2024-7099,Low pickup,"P6768, P0987",Track burnt due to EOS,Customer Failure,Hanon
Hyundai,2023,2023-07-04,QC-2023-4587,Starting Problem,,NTF,According to Specification,Bosch
TATA,2020,2020-11-03,QC-2020-1280,Engine overheating,P0301,NTF,Production Failure,Hanon
Kia,2022,2022-04-28,QC-2022-1479,High fuel consumption,"B1234, P0455",ASIC CJ327 failure due to EOS,Customer Failure,Valeo
Hyundai,2021,2021-10-01,QC-2021-6328,Starting Problem,NA,NTF,Production Failure,STM
Toyota,2020,2020-09-05,QC-2020-5815,Low pickup,"B1234, P6344, P0301",Sensor short due to moisture,According to Specification,NA
Kia,2021,2021-10-08,QC-2021-1747,Vehicle not starting,"P1245, B1234",controller failure due to supplier production failure,Production Failure,Hanon
Honda,2019,2019-02-04,QC-2019-8391,High fuel consumption,P1245,Sensor short due to moisture,Production Failure,Delphi
Toyota,2024,2024-03-12,QC-2024-4860,Starting Problem,C0045,Sensor short due to moisture,According to Specification,NA
M&M,2023,2023-06-19,QC-2023-5782,Low pickup,"P6768, C0045",controller failure due to supplier production failure,Customer Failure,STM
M&M,2022,2022-12-25,QC-2022-2594,OBD Light ON,,ASIC CJ327 failure due to EOS,Customer Failure,Delphi
Toyota,2021,2021-12-08,QC-2021-4547,Rough idling,NA,ASIC CJ327 failure due to EOS,According to Specification,Bosch
Kia,2019,2019-02-16,QC-2019-4566,Engine jerking during acceleration,NA,Connector damage,According to Specification,STM
Hyundai,2023,2023-11-16,QC-2023-7468,Vehicle not starting,"P0301, P6344, P6768",ASIC CJ327 failure due to EOS,Production Failure,NA
Hyundai,2020,2020-12-27,QC-2020-5241,Starting Problem,,Sensor short due to moisture,Customer Failure,STM
Toyota,2019,2019-07-25,QC-2019-3128,Vehicle not starting,"P0455, B1234, C0045",controller failure due to supplier production failure,According to Specification,Bosch
Toyota,2019,2019-07-17,QC-2019-9569,Starting Problem,,Sensor short due to moisture,Customer Failure,Delphi
Kia,2022,2022-10-18,QC-2022-4582,Vehicle not starting,NA,Connector damage,Customer Failure,Hanon
TATA,2019,2019-05-31,QC-2019-8897,High fuel consumption,"P6768, C0045, P5657",Connector damage,According to Specification,STM
Kia,2024,2024-11-01,QC-2024-9597,High fuel consumption,"B1234, C0045, P6344",Sensor short due to moisture,According to Specification,STM
Ashok Leyland,2020,2020-08-31,QC-2020-9197,Low pickup,"C0045, P0455, B1234",controller failure due to supplier production failure,According to Specification,Valeo
Kia,2019,2019-07-09,QC-2019-5637,Vehicle not starting,NA,Sensor short due to moisture,Customer Failure,NA
Hyundai,2021,2021-07-26,QC-2021-9249,Engine overheating,"U0100, P0455",NTF,Customer Failure,Hanon
Hyundai,2023,2023-05-15,QC-2023-2698,Engine jerking during acceleration,,Connector damage,According to Specification,STM
Hyundai,2019,2019-03-27,QC-2019-9160,High fuel consumption,,Track burnt due to EOS,According to Specification,Valeo
Ashok Leyland,2022,2022-09-15,QC-2022-9978,Brake warning light ON,,controller failure due to supplier production failure,Customer Failure,Valeo
Kia,2023,2023-06-26,QC-2023-4014,Engine jerking during acceleration,"U0100, P6344",controller failure due to supplier production failure,Production Failure,Hanon
Toyota,2023,2023-05-23,QC-2023-2864,Low pickup,NA,Connector damage,According to Specification,STM
M&M,2023,2023-07-23,QC-2023-1526,Starting Problem,P1245,ASIC CJ327 failure due to EOS,Customer Failure,NA
Kia,2024,2024-09-07,QC-2024-4852,OBD Light ON,,controller failure due to supplier production failure,Production Failure,NA
Toyota,2022,2022-11-24,QC-2022-6399,Low pickup,"C0045, P6344, P1245",Sensor short due to moisture,According to Specification,STM
Toyota,2024,2024-07-18,QC-2024-3939,Rough idling,NA,ASIC CJ327 failure due to EOS,Customer Failure,NA
Honda,2021,2021-10-11,QC-2021-4557,Low pickup,,controller failure due to supplier production failure,According to Specification,STM
M&M,2021,2021-04-27,QC-2021-8349,Engine overheating,U0100,Track burnt due to EOS,According to Specification,STM
Honda,2023,2023-05-09,QC-2023-6023,Vehicle not starting,"C0045, P6344, B1234",ASIC CJ327 failure due to EOS,Customer Failure,NA
Ashok Leyland,2019,2019-10-16,QC-2019-2224,Low pickup,"B1234, P0301, P6768",Track burnt due to EOS,Production Failure,STM
M&M,2024,2024-02-28,QC-2024-3990,High fuel consumption,,Track burnt due to EOS,Customer Failure,Bosch
Honda,2019,2019-02-09,QC-2019-3828,Starting Problem,,Connector damage,Customer Failure,STM
Kia,2024,2024-03-31,QC-2024-9944,Engine jerking during acceleration,"B1234, U0100",NTF,According to Specification,Delphi
Ashok Leyland,2024,2024-04-02,QC-2024-5504,Engine overheating,P1245,controller failure due to supplier production failure,Customer Failure,Bosch
Ashok Leyland,2022,2022-06-28,QC-2022-2568,Vehicle not starting,NA,Track burnt due to EOS,According to Specification,STM
Toyota,2023,2023-11-05,QC-2023-8646,Brake warning light ON,NA,Connector damage,Customer Failure,STM
Hyundai,2023,2023-12-17,QC-2023-5977,Engine jerking during acceleration,"P0301, B1234",Sensor short due to moisture,According to Specification,Bosch
M&M,2022,2022-01-14,QC-2022-2571,Engine jerking during acceleration,P0301,Connector damage,According to Specification,Valeo
M&M,2024,2024-05-01,QC-2024-8474,OBD Light ON,P6768,NTF,According to Specification,STM
Kia,2021,2021-07-27,QC-2021-4841,OBD Light ON,NA,ASIC CJ327 failure due to EOS,According to Specification,Valeo
Hyundai,2023,2023-06-25,QC-2023-2896,OBD Light ON,,Sensor short due to moisture,Customer Failure,NA
TATA,2024,2024-12-08,QC-2024-5445,Low pickup,"B1234, P1245",Track burnt due to EOS,According to Specification,NA
TATA,2020,2020-06-17,QC-2020-5868,High fuel consumption,,ASIC CJ327 failure due to EOS,According to Specification,Hanon
Honda,2019,2019-07-28,QC-2019-3676,OBD Light ON,"P0987, P1245, P0455",ASIC CJ327 failure due to EOS,Production Failure,Bosch
Toyota,2021,2021-07-16,QC-2021-2068,Rough idling,"P5657, U0100, P6344",controller failure due to supplier production failure,Customer Failure,Delphi
Hyundai,2022,2022-04-27,QC-2022-5430,Engine overheating,"P0455, C0045",NTF,According to Specification,STM
Ashok Leyland,2024,2024-09-07,QC-2024-7680,OBD Light ON,"P6344, U0100, P5657",ASIC CJ327 failure due to EOS,Production Failure,Valeo
Hyundai,2023,2023-07-07,QC-2023-8419,Engine overheating,"P0455, P1245",ASIC CJ327 failure due to EOS,Production Failure,NA
Hyundai,2022,2022-11-13,QC-2022-2615,Engine jerking during acceleration,U0100,Track burnt due to EOS,Customer Failure,Valeo
Ashok Leyland,2022,2022-03-20,QC-2022-6141,Low pickup,NA,Track burnt due to EOS,Production Failure,NA
Kia,2022,2022-07-25,QC-2022-7499,Engine overheating,NA,Sensor short due to moisture,Customer Failure,STM
Honda,2020,2020-07-11,QC-2020-4216,Engine jerking during acceleration,"P1245, P5657",Connector damage,Customer Failure,Valeo
M&M,2019,2019-02-11,QC-2019-8101,Low pickup,,Sensor short due to moisture,Customer Failure,Hanon
TATA,2023,2023-03-28,QC-2023-7774,Engine overheating,NA,Connector damage,Customer Failure,Delphi
Hyundai,2023,2023-09-26,QC-2023-2467,Brake warning light ON,"P0987, B1234, P0455",Sensor short due to moisture,Customer Failure,STM
M&M,2021,2021-06-09,QC-2021-3715,Brake warning light ON,"P5657, P0301, P6768",Connector damage,Production Failure,STM
TATA,2020,2020-01-23,QC-2020-4390,Vehicle not starting,"P1245, B1234, P0987",controller failure due to supplier production failure,Customer Failure,Valeo
Honda,2020,2020-01-10,QC-2020-5096,OBD Light ON,P1245,Sensor short due to moisture,According to Specification,Bosch
M&M,2020,2020-01-31,QC-2020-7475,Starting Problem,"P5657, P6344",Track burnt due to EOS,According to Specification,Valeo
Honda,2020,2020-11-18,QC-2020-1260,High fuel consumption,P0987,Connector damage,Customer Failure,Valeo
Toyota,2019,2019-01-04,QC-2019-1169,Low pickup,"P0987, P0455, U0100",ASIC CJ327 failure due to EOS,Customer Failure,Bosch
TATA,2020,2020-10-24,QC-2020-1666,Starting Problem,,Sensor short due to moisture,According to Specification,STM
Honda,2019,2019-07-04,QC-2019-2939,High fuel consumption,NA,Connector damage,Customer Failure,NA
Hyundai,2023,2023-08-05,QC-2023-1450,OBD Light ON,"P0455, P0301, C0045",Sensor short due to moisture,Production Failure,Valeo
Hyundai,2022,2022-10-18,QC-2022-7183,Engine overheating,,ASIC CJ327 failure due to EOS,Customer Failure,STM
Hyundai,2023,2023-08-29,QC-2023-3369,Low pickup,,Track burnt due to EOS,Production Failure,Bosch
Toyota,2019,2019-01-22,QC-2019-1911,Vehicle not starting,,controller failure due to supplier production failure,Customer Failure,Hanon
TATA,2019,2019-08-08,QC-2019-6123,Starting Problem,"B1234, P0455, C0045",Sensor short due to moisture,Customer Failure,Delphi
Ashok Leyland,2020,2020-09-07,QC-2020-7755,OBD Light ON,C0045,ASIC CJ327 failure due to EOS,Production Failure,Delphi
Toyota,2023,2023-03-08,QC-2023-8178,Low pickup,"P0301, P6768",Connector damage,Production Failure,Bosch
M&M,2019,2019-10-10,QC-2019-5967,Low pickup,"P0987, B1234, P0455",NTF,Customer Failure,Hanon
Hyundai,2019,2019-11-01,QC-2019-4193,Starting Problem,"U0100, P1245",Connector damage,According to Specification,Hanon
Ashok Leyland,2023,2023-09-27,QC-2023-7608,Brake warning light ON,P6344,Connector damage,According to Specification,Hanon
Ashok Leyland,2022,2022-04-07,QC-2022-8109,Engine overheating,B1234,Track burnt due to EOS,Production Failure,Hanon
Kia,2022,2022-12-18,QC-2022-2144,Engine jerking during acceleration,C0045,controller failure due to supplier production failure,According to Specification,Valeo
Toyota,2019,2019-07-10,QC-2019-6649,Rough idling,,ASIC CJ327 failure due to EOS,Customer Failure,Hanon
Kia,2020,2020-09-23,QC-2020-1839,High fuel consumption,"P5657, P1245",Connector damage,Customer Failure,STM
Honda,2019,2019-02-04,QC-2019-8187,Rough idling,,Connector damage,Production Failure,STM
Ashok Leyland,2023,2023-03-19,QC-2023-4710,Brake warning light ON,P0987,controller failure due to supplier production failure,Customer Failure,Bosch
Kia,2019,2019-10-01,QC-2019-3817,High fuel consumption,"P1245, P6768",NTF,Production Failure,Hanon
TATA,2021,2021-03-13,QC-2021-4250,Brake warning light ON,"P5657, P0301, B1234",controller failure due to supplier production failure,According to Specification,STM
Toyota,2024,2024-10-07,QC-2024-4880,Engine overheating,"P5657, P6344, P1245",Sensor short due to moisture,Production Failure,STM
Honda,2022,2022-09-09,QC-2022-7717,Brake warning light ON,NA,controller failure due to supplier production failure,According to Specification,Valeo
Honda,2022,2022-02-13,QC-2022-9307,Brake warning light ON,"P6344, P5657",Connector damage,Production Failure,Bosch
M&M,2022,2022-10-03,QC-2022-4443,Rough idling,"B1234, P5657",controller failure due to supplier production failure,Customer Failure,Hanon
Honda,2024,2024-07-15,QC-2024-2214,High fuel consumption,"P1245, P0987",ASIC CJ327 failure due to EOS,Customer Failure,Bosch
Honda,2022,2022-02-24,QC-2022-8938,Low pickup,NA,Connector damage,According to Specification,NA
Hyundai,2024,2024-04-28,QC-2024-8541,OBD Light ON,C0045,NTF,According to Specification,Bosch
M&M,2023,2023-08-25,QC-2023-3777,Engine overheating,"P0301, P0987",controller failure due to supplier production failure,According to Specification,Valeo
Toyota,2023,2023-12-14,QC-2023-3075,Starting Problem,"B1234, P0987, U0100",controller failure due to supplier production failure,Customer Failure,Bosch
Toyota,2020,2020-05-23,QC-2020-9276,Vehicle not starting,"C0045, P6768",NTF,According to Specification,Bosch
M&M,2024,2024-07-11,QC-2024-3064,Engine jerking during acceleration,"P1245, P0455",Connector damage,According to Specification,Delphi
M&M,2024,2024-09-27,QC-2024-1433,OBD Light ON,,Connector damage,According to Specification,Valeo
TATA,2021,2021-10-19,QC-2021-7257,High fuel consumption,NA,controller failure due to supplier production failure,Customer Failure,STM
TATA,2024,2024-12-04,QC-2024-9175,Engine jerking during acceleration,NA,Connector damage,According to Specification,NA
Hyundai,2024,2024-07-05,QC-2024-3980,Low pickup,,Track burnt due to EOS,Production Failure,Hanon
Honda,2023,2023-05-13,QC-2023-6334,OBD Light ON,"B1234, P0301, P6768",Connector damage,Customer Failure,Delphi
Kia,2020,2020-01-19,QC-2020-3882,Starting Problem,P5657,NTF,Customer Failure,STM
Honda,2022,2022-09-28,QC-2022-4712,Starting Problem,"P0987, P6768",controller failure due to supplier production failure,Customer Failure,STM
Toyota,2023,2023-08-09,QC-2023-8194,Starting Problem,NA,Connector damage,Production Failure,Delphi
M&M,2022,2022-08-25,QC-2022-9413,Starting Problem,,controller failure due to supplier production failure,Production Failure,Bosch
TATA,2023,2023-08-26,QC-2023-3079,Rough idling,"P0455, C0045, P0987",Connector damage,Production Failure,Hanon
TATA,2023,2023-10-08,QC-2023-6218,Low pickup,P0301,Connector damage,Production Failure,NA
Honda,2022,2022-11-27,QC-2022-9029,Engine jerking during acceleration,"P0301, U0100",ASIC CJ327 failure due to EOS,Production Failure,Hanon
